Status,状态
Campaign {0} not found,未找到促销活动 {0}
Cancelled Job Card cannot be processed.,已作废的作业卡不能继续处理。
Cannot add child table {0} to deletion list. Child tables are automatically deleted with their parent DocTypes.,不能将子表 {0} 单独加入删除列表。删除父单据类型时，子表会自动一并删除。
Cannot cancel this document as it is linked with the submitted Asset Value Adjustment <b>{0}</b>. Please cancel the Asset Value Adjustment to continue.,此单据关联了已提交的资产价值调整 <b>{0}</b>，无法作废。请先作废该资产价值调整。
Cannot change Item {0} from serialized to non-serialized because a Serial and Batch Bundle exists for it. Please delete or cancel the Serial and Batch Bundle first.,物料 {0} 已存在序列号和批号组合，不能从序列号管理物料改为非序列号物料。请先删除或作废相关序列号和批号组合。
Cannot create Intercompany {0}. All items in the source {1} have already been fully invoiced. Please check the existing linked {2}s.,无法创建公司间 {0}。源单据 {1} 中的所有物料均已全部开票，请检查现有关联的 {2}。
Cannot declare as Lost because an active Quotation exists.,存在有效报价单，不能将商机标记为未成交。
Cannot delete an item which has been ordered,已下单的物料不能删除。
Cannot delete protected core DocType: {0},不能删除受保护的核心单据类型：{0}
Cannot delete virtual DocType: {0}. Virtual DocTypes do not have database tables.,不能删除虚拟单据类型 {0}。虚拟单据类型没有数据库表。
Cannot disable Serial and Batch No for Item,"as there are existing records for serial / batch."""
Cannot disable {0} as it may lead to incorrect stock valuation.,不能禁用 {0}，否则可能导致库存计价错误。
Cannot disassemble {0} qty against Stock Entry {1}. Only {2} qty available to disassemble.,针对库存凭证 {1} 不能拆解 {0} 数量，当前仅有 {2} 数量可拆解。
Cannot enable Opportunity creation from Contact Us because the Contact Us form is disabled.,“联系我们”表单已禁用，不能启用从该表单创建商机。
Cannot fetch selected rows for submitted Payment Request,无法获取已提交付款请求中的选中行
Cannot find a default warehouse for item {0}. Please select one in the Update Items dialog,"or set a default in the Item Master or in Stock Settings."""
Cannot merge {0} '{1}' into '{2}' as both have existing accounting entries in different currencies for company '{3}'.,无法将 {0}“{1}”合并到“{2}”，因为两者在公司“{3}”中已有不同货币的会计分录。
Cannot produce more Item {0} than Sales Order quantity {1} {2},物料 {0} 的生产数量不能超过销售订单数量 {1} {2}。
Cannot reduce quantity than ordered or purchased quantity,数量不能低于已订购或已采购数量。
Cannot repost more than {0} vouchers at once. Split them into multiple documents.,一次最多只能重新过账 {0} 张凭证，请拆分为多张单据处理。
Cannot select a Group type Customer Group. Please select a non-group Customer Group.,不能选择组类型的客户组，请选择非组客户组。
Cannot start deletion. Another deletion {0} is already queued/running. Please wait for it to complete.,无法开始删除。另一个删除任务 {0} 已在队列中或正在运行，请等待其完成。
Cannot submit Job Card {0} while it is On Hold. Please resume and complete the job before submission.,作业卡 {0} 处于暂停状态，无法提交。请先恢复并完成作业。
Cannot update rate as item {0} is already ordered or purchased against this quotation,物料 {0} 已基于此报价单下单或采购，不能更新单价。
Capitalize this asset before submitting.,提交前请先将此资产资本化。
Changing the account in any transaction of the DocTypes listed below will trigger a repost. To prevent reposting,"remove the relevant DocType from the list."""
Check Availability in Warehouse,检查仓库可用量
Check if this tax is not applicable to items (distinct from 0% rate),勾选后表示此税不适用于物料，与 0% 税率不同。
Check row {0} for account {1}: Party is only allowed if Party Type is set,请检查第 {0} 行科目 {1}：只有设置了往来方类型后才能填写往来方。
Check row {0} for account {1}: Party Type is only allowed for Receivable or Payable accounts,请检查第 {0} 行科目 {1}：往来方类型仅允许用于应收或应付科目。
Check Supplier invoice number uniqueness,检查供应商发票号唯一性
Checks and Deposits incorrectly cleared,支票和存款错误清账
Cheque/Reference Number,支票/参考编号
Child DocTypes,子单据类型
Child Table Not Allowed,不允许使用子表
Child tables that will also be deleted,将一并删除的子表
Classify As,分类为
Classify the type of market this customer belongs to,"used for sales analysis and targeting."""
Clear Last Scanned Warehouse,清除上次扫描的仓库
Clearance date changed from {0} to {1} via Bank Clearance Tool,通过银行清账工具将清账日期从 {0} 更改为 {1}
Clearance date updated,清账日期已更新
Click to pay in full.,点击全额支付。
Click to set the closing balance as per statement,点击按对账单设置期末余额
Click to set this as the header row.,点击将此行设为表头。
Closed Period,已关闭期间
Closing Balance as of {},截至 {} 的期末余额
Closing Balance as per statement,按对账单的期末余额
Closing Balance as per system,按系统的期末余额
Closing balance as per system,按系统的期末余额
Closing balance deleted.,期末余额已删除。
Closing balance is required.,期末余额为必填项。
Closing balance on bank statement as of {0},截至 {0} 的银行对账单期末余额
Closing balance set.,期末余额已设置。
Co-Product,联产品
"Code to reference this line in formulas (e.g. REV100, EXP200, ASSET100)",用于在公式中引用此行的代码，例如 REV100、EXP200、ASSET100。
Color to highlight values (e.g. red for exceptions),用于突出显示数值的颜色，例如异常项使用红色。
Column Mapping,列映射
Search or type a command (Ctrl + K),搜索单据、页面或输入快捷指令 (Ctrl + K)
List View,列表视图
Report View,报表视图
Dashboard View,仪表盘看板
Kanban,看板视图
Gantt,甘特图
Calendar,日历视图
Image View,卡片图库
Saved Filters,已存常用筛选
Filter By,筛选条件
Add Filter,添加筛选条件
Clear Filters,清空全部筛选
Sort By,排序规则
Created On,创建时间
Modified On,修改时间
Created By,创建人
Modified By,修改人
Descending,降序 (最新优先)
Ascending,升序 (最早优先)
Load More,加载更多记录
Select All,全选当前页
Unselect All,取消全选
No matching records found,未找到符合条件的单据记录
No Data,暂无数据
Action,操作
Discard,放弃修改
Permanently Delete,永久删除
Delete permanently,永久删除
Insert Above,在上方插入行
Insert Below,在下方插入行
Move Up,上移
Move Down,下移
Delete Row,删除行
+ Add Role,新建角色
+ Add User,新建用户
Add {0},新建 {0}
+ Add {0},新建 {0}
+ Add,新建
+ New,新建
Draft,草稿
Submitted,已提交
Cancelled,已作废
Pending,待处理
Approved,已审批
Rejected,已驳回
Open,开启待办
Closed,已结案
Paid,已付款
Unpaid,未付款
Overdue,已逾期
Partly Paid,部分付款
To Bill,待开票
To Receive,待收货入库
To Deliver,待发货出库
Completed,已完成
Active,启用
Disabled,已停用
Enabled,已启用
Unbilled,未开票
Billed,已开票
Return,退货/红冲
Select Document Type or Role to start.,请在上方选择【单据类型】或【角色】以开始配置权限规则。
Quick Help for Setting Permissions:,权限配置快速指南：
Meaning of Different Permission Types:,各项权限类型业务释义：
Document Type,单据类型 (DocType)
Roles,角色清单
User Permissions,按用户隔离数据权限
If Owner,仅限创建者本人
Supplier Group,供应商分类
Total Quantity,总数量
Taxes and Charges,税费与附加项
Tax Rate,税率 %
Tax Amount,税额 (¥)
Oil Card,油卡档案
Oil Card Ledger,油卡综合台账明细台
Oil Card Refuel Log,车辆加油明细表
Oil Card Recharge Log,油卡充值明细表
Oil Card Monthly Closing,油卡月度能耗汇总
Vehicle Archive,车辆档案
Oil Card Manager,油卡管理员
Oil Card Operator,油卡操作员
Stock Manager,仓库管理员
Purchase Manager,采购管理员
Accounts Manager,财务主管
Fleet Manager,车队主管
System Manager,系统管理员
You do not have enough permissions to access this resource. Please contact your manager to get access.,您没有足够的权限访问此资源，请联系管理员为您配置权限。
User {0} does not have doctype access via role permission for document {1},用户 {0} 在当前角色权限下无权访问单据类型 {1}
Not permitted,无访问权限
Not found,未找到请求的页面
The resource you are looking for is not available,您访问的资源不存在或已被移动
Invalid login credentials,账号或密码错误
Session Expired,会话已过期，请重新登录
Please refresh the page,请刷新页面
Desktop,控制台
Workspaces,工作区
Website,网站主页
Display,界面显示
Session Defaults,会话默认值
Reload,重新加载
Help,帮助与支持
Logout,退出登录
Toggle Theme,切换深浅主题
Toggle Full Width,切换全屏/等宽
Toggle Sidebar,展开/折叠侧边栏
Theme,系统主题
Dark Theme,深色模式
Dark Mode,深色模式
Light Theme,浅色模式
Light Mode,浅色模式
Automatic,跟随系统
About,关于系统
Keyboard Shortcuts,键盘快捷键
System Health,系统健康状态
Frappe Support,技术支持
Documentation,官方文档
User Forum,用户社区
Report an Issue,反馈问题
Notifications,通知中心
Events,日程事件
What's New,最新动态
No New notifications,暂无新通知
Looks like you haven’t received any notifications.,您当前没有收到任何新通知。
No Upcoming Events,暂无近期日程
There are no upcoming events for you.,您当前没有即将开始的日程事件。
Nothing New,暂无更新动态
There is nothing new to show you right now.,当前暂无最新动态。
Accounting,财务会计
Buying,采购管理
Stock,库存与仓库
CRM,客户关系管理 (CRM)
HR,人力资源 (HR)
Payroll,薪资管理 (Payroll)
Quality,质量管理
Projects,项目管理
Manufacturing,生产制造
Selling,销售管理
Support,客户服务与支持
Users,用户与权限
Integrations,集成与对接
Build,开发与构建
Retail,零售管理
Assets,固定资产
My Business,我的业务 (总控主页)
To Receive and Bill,待入库与待开票
To Deliver and Bill,待出库与待开票
Partly Billed,部分开票
Partially Paid,部分付款
Partially Ordered,部分订购
Partially Received,部分收货
Partly Delivered,部分出库
Partially Delivered,部分交付
Ordered,已订购
Delivered,已交付
Received,已收货
Stopped,已终止
On Hold,暂停挂起
In Progress,进行中
Reopened,已重开
Amended,已修改重开
Expired,已到期
Return Issued,已退货
Credit Note Issued,已开红字发票
Debit Note Issued,已开借项凭证
Overdue Payment,逾期未付
Pending Approval,待审批
Requested,已申请
Verified,已核验
Unverified,未核验
Review,复核
Under Review,审核中
Pending Review,待复核
Unreconciled,未对账
Reconciled,已对账
Partly Reconciled,部分对账
Cleared,已结清
Uncleared,未清算
Advance Paid,已付预付款
Prepaid,预付
Payment Pending,待付款
Payment Received,已收款
Payment Made,已付款
Grand Total,含税总计
Outstanding Amount,待付余额
Net Total,不含税净额
Total Taxes and Charges,税费总额
Mode of Payment,结算方式
Payment Entry,付款凭单
Wire Transfer,对公电汇
Bank Transfer,银行转账
Cash,现金支付
Accepted,合格/已接收
Quality Inspection Pending,待质检
Pending Inspection,待检验
Inspection Completed,质检完成
Available,可用
Out of Stock,无库存/缺货
In Stock,有库存/在库
Low Stock,库存预警
Reserved,已预留/已锁定
Inactive,停用
Success,成功
Failed,失败
Queued,排队中
Running,运行中
Error,错误
Warning,警告
Info,提示
Locked,已锁定
Unlocked,已解锁
Due Today,今日到期
Due Tomorrow,明日到期
Unpublished,未发布
Published,已发布
Reimbursement Request,整算单 / 报销单
Purchase Order,采购订单
Purchase Receipt,采购入库单
Purchase Invoice,采购发票
Material Request,物料申请单
